"ID","step","angle","x","y","doy","tod","timestamp"
"Animal1",0.849283726618951,3.00983783262895,-4.937609,6.878176,247,10,"2018-09-04 18:00:33.000"
"Animal1",0.797166427197402,1.21023035134674,-4.933714,6.884796,247,11,"2018-09-04 20:01:00.000"
"Animal1",0.464547510864301,-2.01473546944,-4.938242,6.890407,247,12,"2018-09-04 22:01:31.000"
"Animal1",0.398319452004258,0.614019516742074,-4.934154,6.891384,248,1,"2018-09-05 00:00:54.000"
"Animal1",0.0519383829822301,2.47698946303954,-4.931772,6.894087,248,2,"2018-09-05 02:02:00.000"
"Animal1",0.856610769537073,1.15053958647835,-4.932234,6.894001,248,3,"2018-09-05 04:00:51.000"
"Animal1",0.280330821429676,-1.19020260254279,-4.934047,6.88647,248,4,"2018-09-05 06:00:54.000"
"Animal1",0.11003407772668,-2.36210773354274,-4.936557,6.886105,248,5,"2018-09-05 08:01:29.000"
"Animal1",0.0874128905169668,1.50799617108357,-4.935957,6.886899,248,6,"2018-09-05 10:01:06.000"
"Animal1",0.0218542656513939,-2.65132212309528,-4.936557,6.887414,248,7,"2018-09-05 12:01:01.000"
"Animal1",0.154217902509851,0.573038747189047,-4.936364,6.887371,248,8,"2018-09-05 14:01:30.000"
"Animal1",0.185963938955484,-0.91212559423489,-4.935055,6.887854,248,9,"2018-09-05 16:01:26.000"
"Animal1",0.482148323420028,0.776693977372947,-4.933628,6.886963,248,10,"2018-09-05 18:01:06.000"
"Animal1",0.353274356134125,0.708213187220817,-4.929369,6.887907,248,11,"2018-09-05 20:01:01.000"
"Animal1",1.18718616649644,-0.660456277823288,-4.927449,6.890461,248,12,"2018-09-05 22:00:36.000"
"Animal1",0.306669591981806,2.54884471052209,-4.917085,6.893283,249,1,"2018-09-06 00:00:50.000"
"Animal1",0.0630355959552851,0.118204528709567,-4.919713,6.894173,249,2,"2018-09-06 02:01:24.000"
"Animal1",0.100906272913085,-2.98020719731912,-4.920271,6.894291,249,3,"2018-09-06 04:01:35.000"
"Animal1",0.137523303328243,-1.894538406745,-4.919359,6.894248,249,4,"2018-09-06 06:01:35.000"
"Animal1",0.0751828891694692,-1.31193806339993,-4.91981,6.893089,249,5,"2018-09-06 08:00:37.000"
"Animal1",0.0924947662324667,-1.8537023718599,-4.920486,6.893165,249,6,"2018-09-06 10:00:54.000"
"Animal1",0.153690442592173,-2.22082776685042,-4.920164,6.893937,249,7,"2018-09-06 12:01:01.000"
"Animal1",0.199513984659856,1.70417811505367,-4.919466,6.892735,249,8,"2018-09-06 14:03:01.000"
"Animal1",0.227286922524461,1.03736681569808,-4.918039,6.89384,249,9,"2018-09-06 16:00:49.000"
"Animal1",0.775152268245175,2.85601185599361,-4.918297,6.895879,249,10,"2018-09-06 18:00:55.000"
"Animal1",0.228199492494517,-1.68986606238636,-4.919413,6.888959,249,11,"2018-09-06 20:01:25.000"
"Animal1",0.453052740601896,2.38240352549507,-4.921398,6.889527,249,12,"2018-09-06 22:00:37.000"
"Animal1",0.296862787032298,-0.564763812072854,-4.919316,6.885998,250,1,"2018-09-07 00:00:50.000"
"Animal1",1.50985612624988,-1.38895306259159,-4.919402,6.883315,250,2,"2018-09-07 02:01:07.000"
"Animal1",0.0815646222479295,2.2578494838972,-4.93291,6.881277,250,3,"2018-09-07 04:00:34.000"
"Animal1",0.561185184790247,-1.39591436678863,-4.932362,6.880783,250,4,"2018-09-07 06:02:25.000"
"Animal1",0.20901995690621,-0.0932716771398735,-4.935055,6.876481,250,5,"2018-09-07 08:01:31.000"
"Animal1",0.0154558029670226,-0.352033586279338,-4.936203,6.874979,250,6,"2018-09-07 10:02:32.000"
"Animal1",0.0575211679954416,2.43044382330963,-4.936321,6.874904,250,7,"2018-09-07 12:00:55.000"
"Animal1",0.392077485963087,1.92880798257059,-4.935806,6.874829,250,8,"2018-09-07 14:01:07.000"
"Animal1",0.301712288426696,0.123431702077132,-4.936557,6.878294,250,9,"2018-09-07 16:00:38.000"
"Animal1",0.443821344972496,0.588659882329601,-4.937459,6.880869,250,10,"2018-09-07 18:02:07.000"
"Animal1",0.685712016332514,-0.980877233176253,-4.940667,6.883283,250,11,"2018-09-07 20:00:34.000"
"Animal1",0.70319145694123,-1.25428481757515,-4.940323,6.889474,250,12,"2018-09-07 22:02:55.000"
"Animal1",1.95553810369543,-1.58430893500823,-4.934176,6.891115,251,1,"2018-09-08 00:00:50.000"
"Animal1",0.365402941372318,-2.76539015382868,-4.929841,6.873971,251,2,"2018-09-08 02:00:51.000"
"Animal1",0.354935348665387,1.3525409712566,-4.931772,6.876653,251,3,"2018-09-08 04:02:08.000"
"Animal1",0.444812186142529,0.224936119500285,-4.934723,6.875387,251,4,"2018-09-08 06:01:38.000"
"Animal1",0.214829359731594,0.791150613694255,-4.937974,6.873016,251,5,"2018-09-08 08:02:06.000"
"Animal1",0.0117262945700875,0.934341096140493,-4.938263,6.871095,251,6,"2018-09-08 10:00:55.000"
"Animal1",0.124324374680047,0.175711160241419,-4.938188,6.87102,251,7,"2018-09-08 12:00:34.000"
"Animal1",0.144464290390925,1.34911796653756,-4.937266,6.870376,251,8,"2018-09-08 14:00:34.000"
"Animal1",0.252454551592243,-0.40391014521586,-4.9363,6.871256,251,9,"2018-09-08 16:00:37.000"
"Animal1",1.44979272742785,-0.239258961112639,-4.934143,6.872007,251,10,"2018-09-08 18:01:55.000"
"Animal1",1.35133239393462,0.873224969131146,-4.921086,6.873263,251,11,"2018-09-08 20:01:06.000"
"Animal1",0.154576313871614,-0.68119805899591,-4.914166,6.883337,251,12,"2018-09-08 22:01:02.000"
"Animal1",0.581059096935713,2.84141066276058,-4.912825,6.883734,252,1,"2018-09-09 00:00:33.000"
"Animal1",0.194508683236982,0.233450460922461,-4.918082,6.883798,252,2,"2018-09-09 02:01:40.000"
"Animal1",1.46919987362748,0.175009805974764,-4.919799,6.883412,252,3,"2018-09-09 04:01:06.000"
"Animal1",0.149481959946535,0.271482227893915,-4.932062,6.878284,252,5,"2018-09-09 08:01:54.000"
"Animal1",0.209683865816154,-0.9841851995586,-4.933124,6.877447,252,6,"2018-09-09 10:02:30.000"
"Animal1",0.0343728627192897,0.316428997482289,-4.934927,6.878037,252,7,"2018-09-09 12:01:37.000"
"Animal1",0.171472622893929,1.7169853580228,-4.935238,6.878037,252,8,"2018-09-09 14:00:55.000"
"Animal1",0.0616373198559074,2.8023437008376,-4.935012,6.876503,252,9,"2018-09-09 16:00:50.000"
"Animal1",0.581939774883206,-1.21182847729265,-4.934905,6.87705,252,10,"2018-09-09 18:00:37.000"
"Animal1",0.608714002965319,-0.281159302872402,-4.929712,6.877919,252,11,"2018-09-09 20:01:07.000"
"Animal1",0.743878331686109,-1.0920448952756,-4.924241,6.877286,252,12,"2018-09-09 22:01:07.000"
"Animal1",1.04757335195411,-2.2143270351696,-4.921848,6.870999,253,1,"2018-09-10 00:00:56.000"
"Animal1",0.299981237697621,0.648485447989139,-4.930957,6.873617,253,2,"2018-09-10 02:00:55.000"
"Animal1",0.0394084994674904,0.437076887101356,-4.933489,6.87264,253,3,"2018-09-10 04:01:00.000"
"Animal1",0.44346996648531,-1.79302585279451,-4.933736,6.872383,253,4,"2018-09-10 06:00:37.000"
"Animal1",0.23000051883175,1.59723828547733,-4.935946,6.87573,253,5,"2018-09-10 08:00:55.000"
"Animal1",0.36691933965148,1.14646066321188,-4.937652,6.874539,253,6,"2018-09-10 10:01:25.000"
"Animal1",0.201187772193232,-0.751957356159313,-4.93704,6.871278,253,7,"2018-09-10 12:00:54.000"
"Animal1",0.3548485802026,2.09744653683737,-4.938017,6.869743,253,8,"2018-09-10 14:00:54.000"
"Animal1",0.299928465198751,2.30051864524081,-4.934809,6.869615,253,9,"2018-09-10 16:01:03.000"
"Animal1",0.822303802728169,-0.0696564579941149,-4.936536,6.871707,253,10,"2018-09-10 18:01:06.000"
"Animal1",1.31961045967206,-0.640855031037008,-4.94086,6.877758,253,11,"2018-09-10 20:02:55.000"
"Animal1",0.777192275809134,-1.2653809259788,-4.940613,6.889688,254,1,"2018-09-11 00:01:30.000"
"Animal1",0.30292093175533,-1.65087800836914,-4.933864,6.891662,254,2,"2018-09-11 02:01:32.000"
"Animal1",0.176684011454513,0.102279276763302,-4.933307,6.88898,254,3,"2018-09-11 04:01:00.000"
"Animal1",0.436613381881015,-1.46958227209862,-4.932824,6.887457,254,4,"2018-09-11 06:00:43.000"
"Animal1",0.0479556540599195,-0.558602397400268,-4.93645,6.88589,254,5,"2018-09-11 08:00:35.000"
"Animal1",0.00829418397574541,-1.42033279081748,-4.936879,6.885955,254,6,"2018-09-11 10:01:30.000"
"Animal1",0.00955626591317634,1.04994830708266,-4.936879,6.88603,254,7,"2018-09-11 12:01:26.000"
"Animal1",0.0638610723704058,-0.668691546993121,-4.936954,6.886073,254,8,"2018-09-11 14:01:06.000"
"Animal1",0.412409012352404,-1.57182660089114,-4.937169,6.886609,254,9,"2018-09-11 16:01:06.000"
"Animal1",0.665895176916967,1.97048427539155,-4.933704,6.887993,254,10,"2018-09-11 18:00:36.000"
"Animal1",0.613351168890086,-1.71724702141593,-4.937941,6.892274,254,11,"2018-09-11 20:01:07.000"
"Animal1",1.85831489606841,-0.722294007756871,-4.933468,6.895557,254,12,"2018-09-11 22:00:50.000"
"Animal1",0.65164271170077,-2.55547065438171,-4.91672,6.894066,255,1,"2018-09-12 00:00:55.000"
"Animal1",0.412275559853325,-2.11984863762854,-4.921902,6.891255,255,2,"2018-09-12 02:01:02.000"
"Animal1",1.01289825522563,-1.8668636767632,-4.921709,6.894978,255,3,"2018-09-12 04:00:37.000"
"Animal1",0.306553232532983,-0.678372307415045,-4.913093,6.891856,255,4,"2018-09-12 06:00:37.000"
"Animal1",0.234980498695983,1.77597654580777,-4.911656,6.889485,255,5,"2018-09-12 08:01:01.000"
"Animal1",0.106228644410385,2.10905954132598,-4.9101,6.890933,255,6,"2018-09-12 10:00:36.000"
"Animal1",0.142582660660792,-0.940001487128864,-4.911023,6.891201,255,7,"2018-09-12 12:01:01.000"
"Animal1",0.167425835748195,-0.177566259134005,-4.911463,6.892413,255,8,"2018-09-12 14:02:06.000"
"Animal1",0.638891778061578,0.234003719457554,-4.91172,6.893905,255,9,"2018-09-12 16:00:49.000"
"Animal1",1.53632666381904,0.702720520379814,-4.913995,6.899216,255,10,"2018-09-12 18:01:06.000"
"Animal1",0.871848370548964,0.143848955679546,-4.926429,6.905428,255,11,"2018-09-12 20:01:23.000"
"Animal1",0.780440213792467,2.34848803633828,-4.933918,6.907906,255,12,"2018-09-12 22:02:07.000"
"Animal1",0.628779312088128,-0.59422944207799,-4.930796,6.901576,256,1,"2018-09-13 00:02:25.000"
"Animal1",0.224729084815888,-0.213580378571543,-4.931569,6.895943,256,2,"2018-09-13 02:01:36.000"
"Animal1",0.154290977626372,-1.18221337523309,-4.932266,6.894034,256,3,"2018-09-13 04:00:54.000"
"Animal1",0.791864874396872,1.32402162325691,-4.933661,6.89398,256,4,"2018-09-13 06:00:33.000"
"Animal1",0.145858674589704,-1.04823196269134,-4.935141,6.886974,256,5,"2018-09-13 08:00:54.000"
"Animal1",0.130212451212756,-2.79921905865517,-4.936396,6.886566,256,6,"2018-09-13 10:01:30.000"
"Animal1",0.0356304447512145,0.879792599263666,-4.935463,6.887285,256,7,"2018-09-13 12:00:36.000"
"Animal1",0.155037613984723,-0.52154618835255,-4.935452,6.887607,256,8,"2018-09-13 14:01:06.000"
"Animal1",0.452681795634443,-2.33978298745542,-4.934712,6.888798,256,9,"2018-09-13 16:01:36.000"
"Animal1",0.72033848156005,1.44686962833516,-4.933714,6.884828,256,10,"2018-09-13 18:01:06.000"
"Animal1",1.21280056434409,-0.0830696115205099,-4.927245,6.885622,256,11,"2018-09-13 20:01:06.000"
"Animal1",0.972426495819062,-0.93713928915319,-4.91628,6.886051,256,12,"2018-09-13 22:00:50.000"
"Animal1",0.929205629192272,1.79498985126248,-4.910797,6.879174,257,1,"2018-09-14 00:00:55.000"
"Animal1",0.106047688112424,0.120788554859527,-4.905551,6.88574,257,2,"2018-09-14 02:00:40.000"
"Animal1",0.167961639219317,-2.22037999838731,-4.905047,6.886556,257,3,"2018-09-14 04:00:55.000"
"Animal1",0.649629814856559,-2.78816474955743,-4.9045,6.885139,257,4,"2018-09-14 06:00:55.000"
"Animal1",0.215803460961377,1.10510975309119,-4.908383,6.889549,257,5,"2018-09-14 08:00:55.000"
"Animal1",0.247314583533311,-2.7239472137676,-4.910272,6.889055,257,6,"2018-09-14 10:00:34.000"
"Animal1",0.0274068359070665,-0.584692190569766,-4.908523,6.89045,257,7,"2018-09-14 12:01:06.000"
"Animal1",0.621296979017859,1.29963547017874,-4.908276,6.890472,257,8,"2018-09-14 14:00:50.000"
"Animal1",0.371962249325981,1.01464953795326,-4.907257,6.895997,257,9,"2018-09-14 16:01:33.000"
"Animal1",0.194687275196141,-0.0123648783698798,-4.909746,6.898261,257,10,"2018-09-14 18:01:00.000"
"Animal1",0.984606929998645,-2.94957152621548,-4.911034,6.899462,257,11,"2018-09-14 20:01:20.000"
"Animal1",0.508344136207206,-1.1384702373439,-4.90348,6.894742,257,12,"2018-09-14 22:01:00.000"
